fecha,hora,dia_semana,franja,semana,descripcion_corta,tema,duracion_seg,visualizaciones,alcance,me_gustas,comentarios,guardados,compartidos,seguidores_ganados,engagement_rate,save_rate,share_rate,follower_conv_rate,enlace
2026-02-27,11,Friday,Mañana (6-12h),Sem 1 (24 feb),"lo siento profe
#programacion #techhumor #informatica",Tech humor,11,1851,1599,94,1,6,20,2,7.57,0.38,1.08,0.13,https://www.instagram.com/reel/DVRh5FIDOsJ/
2026-02-27,11,Friday,Mañana (6-12h),Sem 1 (24 feb),"lo siento profe 
#programacion #techhumor #informatica",Tech humor,11,740676,543713,66629,293,3961,24285,673,17.5,0.73,3.28,0.12,https://www.instagram.com/reel/DVRhIaHjIit/
2026-02-28,11,Saturday,Mañana (6-12h),Sem 1 (24 feb),"te amo mi chico informático 
#programador #parejatech #infor",Humor personal,7,29606,17377,361,10,53,33,28,2.63,0.31,0.11,0.16,https://www.instagram.com/reel/DVUDlEPjBFj/
2026-03-01,10,Sunday,Mañana (6-12h),Sem 1 (24 feb),"y tú lo sabes?
#programacion #informatica #techhumor",Tech humor,6,29834,21210,1743,7,108,295,18,10.15,0.51,0.99,0.08,https://www.instagram.com/reel/DVWelnlDLQr/
2026-03-03,10,Tuesday,Mañana (6-12h),Sem 2 (2 mar),preparadisimo para el mundo laboral #leetcode #informatica #,Programación general,9,160221,104205,11192,43,823,1969,234,13.46,0.79,1.23,0.22,https://www.instagram.com/reel/DVbqYmqDEiq/
2026-03-05,10,Thursday,Mañana (6-12h),Sem 2 (2 mar),"una <div>a mi terminal #womenintech 
#techgirl #programacion",Terminal/Bash,6,146936,85804,10750,72,1200,1344,281,15.58,1.4,0.91,0.33,https://www.instagram.com/reel/DVg0pspjA5H/
2026-03-07,13,Saturday,Tarde (12-18h),Sem 2 (2 mar),tutorial de terminal rosita 💅🏻 #womenintech #informatica #te,Terminal/Bash,22,45453,32219,1973,26,906,516,224,10.62,2.81,1.14,0.7,https://www.instagram.com/reel/DVmUh6njKpP/
2026-03-09,11,Monday,Mañana (6-12h),Sem 3 (9 mar),no era mi tipo #techhumor #programacion #informatica,Tech humor,8,132205,85940,9160,79,1378,1101,107,13.64,1.6,0.83,0.12,https://www.instagram.com/reel/DVrHuJDDFfa/
2026-03-11,11,Wednesday,Mañana (6-12h),Sem 3 (9 mar),lo más difícil #programacion #informatica #techhumor,Tech humor,6,92904,62076,7699,19,396,842,74,14.43,0.64,0.91,0.12,https://www.instagram.com/reel/DVwTTs4jAlL/
2026-03-11,15,Wednesday,Tarde (12-18h),Sem 3 (9 mar),"Excel -ente SELECT 
#Sql #sqldeveloper #techumor",SQL,4,203332,81860,3029,43,683,5485,165,11.29,0.83,2.7,0.2,https://www.instagram.com/reel/DVwqrf3DOso/
2026-03-13,7,Friday,Mañana (6-12h),Sem 3 (9 mar),"besote si entendiste 🚩
#github #programacion #techhumor #inf",Tech humor,11,54859,32163,1971,21,196,192,204,7.4,0.61,0.35,0.63,https://www.instagram.com/reel/DV0-wHCjK52/
2026-03-14,6,Saturday,Mañana (6-12h),Sem 3 (9 mar),explicame 🐍 #programador #python #techhumor,Python,6,2649307,1270432,83075,800,12934,108272,1962,16.14,1.02,4.09,0.15,https://www.instagram.com/reel/DV3bn8HDNnl/
2026-03-14,11,Saturday,Mañana (6-12h),Sem 3 (9 mar),"no hagas force push
#programacion #developer #informatica",Tech humor,8,131524,92780,9640,93,1455,1582,285,13.76,1.57,1.2,0.31,https://www.instagram.com/reel/DV3_Xc3DIBb/
2026-03-15,11,Sunday,Mañana (6-12h),Sem 3 (9 mar),"y yo no era ni la [3]
 #programacion #techhumor #informatica",Tech humor,5,36406,19644,913,15,85,173,53,6.04,0.43,0.48,0.27,https://www.instagram.com/reel/DV6h0ubjEci/
2026-03-16,11,Monday,Mañana (6-12h),Sem 4 (16 mar),"alguien me ayuda?? @nvidiageforcees 😭
#techhumor #geforce #i",Tech humor,7,1474479,728868,115258,916,3292,10575,262,17.84,0.45,0.72,0.04,https://www.instagram.com/reel/DV9IjjejHlJ/
2026-03-17,8,Tuesday,Mañana (6-12h),Sem 4 (16 mar),php siempre funciona 💤 gracias @mouredev #techhumor #program,Tech humor,9,90617,51790,7158,124,536,1431,213,17.86,1.03,1.58,0.41,https://www.instagram.com/reel/DV_WbIzjIOZ/
2026-03-17,11,Tuesday,Mañana (6-12h),Sem 4 (16 mar),"lo q mas duele en una ruptura 
#programacion #informatica #t",Tech humor,8,155578,92069,8690,97,1627,1803,253,13.27,1.77,1.16,0.27,https://www.instagram.com/reel/DV_sLjfjAV0/
2026-03-18,8,Wednesday,Mañana (6-12h),Sem 4 (16 mar),"dedícaselo a tu https ✉️
#techhumor #programacion #informati",Tech humor,9,54811,33741,2979,77,496,1059,312,13.67,1.47,1.93,0.92,https://www.instagram.com/reel/DWB98jaDKSa/
2026-03-18,11,Wednesday,Mañana (6-12h),Sem 4 (16 mar),"gracias por el cumplido 
#ram #techhumor #informatica",Tech humor,8,34372,23969,2101,31,111,229,53,10.31,0.46,0.67,0.22,https://www.instagram.com/reel/DWCUappDC39/
2026-03-19,11,Thursday,Mañana (6-12h),Sem 4 (16 mar),"promesas Null

#developer #techhumor #programacion #informat",Tech humor,8,25943,15925,1151,16,127,142,71,9.02,0.8,0.55,0.45,https://www.instagram.com/reel/DWE2gwsjO5b/
2026-03-19,8,Thursday,Mañana (6-12h),Sem 4 (16 mar),"muy necesario el README
#techhumor #programacion #informatic",Buenas prácticas,15,318061,211323,24292,235,2194,6073,904,15.52,1.04,1.91,0.43,https://www.instagram.com/reel/DWEhHvSDLyT/
2026-03-20,11,Friday,Mañana (6-12h),Sem 4 (16 mar),"la espaldaaaa 
#techhumor #programacion #informatica",Tech humor,6,95327,54850,8900,9,499,474,50,18.02,0.91,0.5,0.09,https://www.instagram.com/reel/DWHZY5mjLy4/
2026-03-20,7,Friday,Mañana (6-12h),Sem 4 (16 mar),"recursión emocional // aropoemas
#poemastech #techhumor #pro",Tech humor,18,40968,28107,2890,94,446,781,299,14.98,1.59,1.91,1.06,https://www.instagram.com/reel/DWHDL7UjM1_/
2026-03-21,4,Saturday,Madrugada (0-6h),Sem 4 (16 mar),"besote si entendiste la referencia 😗
@canva ayuda 
#porfolio",Tech humor,8,5266,3611,165,2,14,17,17,5.48,0.39,0.32,0.47,https://www.instagram.com/reel/DWJRzQyDJAd/
2026-03-21,11,Saturday,Mañana (6-12h),Sem 4 (16 mar),"RIP 🪦 Stack Overflow 
#stackoverflow #informatica #techhumor",Tech humor,5,14994,9590,686,12,36,89,22,8.58,0.38,0.59,0.23,https://www.instagram.com/reel/DWJ-SKlDCwH/
2026-03-21,9,Saturday,Mañana (6-12h),Sem 4 (16 mar),"mucho nvidioso por ahí 😡@pccomponentes chequen eso 🫶🏼
#techh",Tech humor,10,27993,14831,872,21,47,130,41,7.21,0.32,0.46,0.28,https://www.instagram.com/reel/DWJ1UAEjBDE/
2026-03-22,8,Sunday,Mañana (6-12h),Sem 4 (16 mar),"tú sabes??
#sql #techhumor #programacion #informatica",SQL,6,190982,90965,5423,109,979,4478,596,12.08,1.08,2.34,0.66,https://www.instagram.com/reel/DWMQFHkjLXl/
2026-03-22,11,Sunday,Mañana (6-12h),Sem 4 (16 mar),"no te confundas mi ciela
#techhumor #informatica #programaci",Tech humor,6,126979,86068,10416,17,424,1559,24,14.43,0.49,1.23,0.03,https://www.instagram.com/reel/DWMmQQBDIL_/
2026-03-23,8,Monday,Mañana (6-12h),Sem 5 (23 mar),"mándaselo, con cariño 💌
#techhumor #programacion #informatic",Tech humor,10,70979,42521,2706,33,533,937,188,9.9,1.25,1.32,0.44,https://www.instagram.com/reel/DWOzR2gDOVH/
2026-03-23,11,Monday,Mañana (6-12h),Sem 5 (23 mar),"evento canónico 
#informatica #techhumor #programacion #prog",Tech humor,5,86889,48195,6646,23,561,1176,67,17.44,1.16,1.35,0.14,https://www.instagram.com/reel/DWPJuVrDMM8/
